80 169
0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
1.020408163265306e-02 0.000000000000000e+00 0.000000000000000e+00
2.040816326530612e-02 0.000000000000000e+00 0.000000000000000e+00
3.061224489795918e-02 0.000000000000000e+00 0.000000000000000e+00
4.081632653061224e-02 0.000000000000000e+00 0.000000000000000e+00
5.102040816326530e-02 0.000000000000000e+00 0.000000000000000e+00
6.122448979591837e-02 0.000000000000000e+00 0.000000000000000e+00
7.142857142857143e-02 0.000000000000000e+00 0.000000000000000e+00
8.163265306122448e-02 0.000000000000000e+00 0.000000000000000e+00
9.183673469387754e-02 0.000000000000000e+00 0.000000000000000e+00
1.020408163265306e-01 0.000000000000000e+00 0.000000000000000e+00
1.122448979591837e-01 0.000000000000000e+00 0.000000000000000e+00
1.224489795918367e-01 0.000000000000000e+00 0.000000000000000e+00
1.326530612244898e-01 0.000000000000000e+00 0.000000000000000e+00
1.428571428571429e-01 0.000000000000000e+00 0.000000000000000e+00
1.530612244897959e-01 0.000000000000000e+00 0.000000000000000e+00
1.632653061224490e-01 0.000000000000000e+00 0.000000000000000e+00
1.734693877551020e-01 0.000000000000000e+00 0.000000000000000e+00
1.836734693877551e-01 0.000000000000000e+00 0.000000000000000e+00
1.938775510204082e-01 0.000000000000000e+00 0.000000000000000e+00
2.040816326530612e-01 0.000000000000000e+00 0.000000000000000e+00
2.142857142857143e-01 0.000000000000000e+00 0.000000000000000e+00
2.244897959183673e-01 0.000000000000000e+00 0.000000000000000e+00
2.346938775510204e-01 0.000000000000000e+00 0.000000000000000e+00
2.448979591836735e-01 0.000000000000000e+00 0.000000000000000e+00
2.551020408163265e-01 0.000000000000000e+00 0.000000000000000e+00
2.653061224489796e-01 0.000000000000000e+00 0.000000000000000e+00
2.755102040816326e-01 0.000000000000000e+00 0.000000000000000e+00
2.857142857142857e-01 0.000000000000000e+00 0.000000000000000e+00
2.959183673469388e-01 0.000000000000000e+00 0.000000000000000e+00
3.061224489795918e-01 0.000000000000000e+00 0.000000000000000e+00
3.163265306122449e-01 0.000000000000000e+00 0.000000000000000e+00
3.265306122448979e-01 0.000000000000000e+00 0.000000000000000e+00
3.367346938775510e-01 0.000000000000000e+00 0.000000000000000e+00
3.469387755102041e-01 0.000000000000000e+00 0.000000000000000e+00
3.571428571428571e-01 0.000000000000000e+00 0.000000000000000e+00
3.673469387755102e-01 0.000000000000000e+00 0.000000000000000e+00
3.775510204081632e-01 0.000000000000000e+00 0.000000000000000e+00
3.877551020408163e-01 0.000000000000000e+00 0.000000000000000e+00
3.979591836734693e-01 0.000000000000000e+00 0.000000000000000e+00
4.081632653061224e-01 0.000000000000000e+00 0.000000000000000e+00
4.183673469387755e-01 0.000000000000000e+00 0.000000000000000e+00
4.285714285714286e-01 0.000000000000000e+00 0.000000000000000e+00
4.387755102040816e-01 0.000000000000000e+00 0.000000000000000e+00
4.489795918367346e-01 0.000000000000000e+00 0.000000000000000e+00
4.591836734693877e-01 0.000000000000000e+00 0.000000000000000e+00
4.693877551020408e-01 0.000000000000000e+00 0.000000000000000e+00
4.795918367346939e-01 0.000000000000000e+00 0.000000000000000e+00
4.897959183673469e-01 0.000000000000000e+00 0.000000000000000e+00
5.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00
5.084033613445379e-01 2.252100840336157e-03 0.000000000000000e+00
5.168067226890757e-01 4.504201680672283e-03 0.000000000000000e+00
5.252100840336134e-01 6.756302521008380e-03 0.000000000000000e+00
5.336134453781511e-01 9.008403361344506e-03 0.000000000000000e+00
5.420168067226890e-01 1.126050420168066e-02 0.000000000000000e+00
5.504201680672268e-01 1.351260504201679e-02 0.000000000000000e+00
5.588235294117647e-01 1.576470588235295e-02 0.000000000000000e+00
5.672268907563024e-01 1.801680672268904e-02 0.000000000000000e+00
5.756302521008403e-01 2.026890756302520e-02 0.000000000000000e+00
5.840336134453781e-01 2.252100840336133e-02 0.000000000000000e+00
5.924369747899160e-01 2.477310924369748e-02 0.000000000000000e+00
6.008403361344537e-01 2.702521008403358e-02 0.000000000000000e+00
6.092436974789915e-01 2.927731092436973e-02 0.000000000000000e+00
6.176470588235294e-01 3.152941176470589e-02 0.000000000000000e+00
6.260504201680672e-01 3.378151260504202e-02 0.000000000000000e+00
6.344537815126050e-01 3.603361344537814e-02 0.000000000000000e+00
6.428571428571428e-01 3.828571428571427e-02 0.000000000000000e+00
6.512605042016807e-01 4.053781512605043e-02 0.000000000000000e+00
6.596638655462185e-01 4.278991596638655e-02 0.000000000000000e+00
6.680672268907563e-01 4.504201680672268e-02 0.000000000000000e+00
6.764705882352941e-01 4.729411764705881e-02 0.000000000000000e+00
6.848739495798319e-01 4.954621848739496e-02 0.000000000000000e+00
6.932773109243697e-01 5.179831932773109e-02 0.000000000000000e+00
7.016806722689075e-01 5.405042016806722e-02 0.000000000000000e+00
7.100840336134453e-01 5.630252100840334e-02 0.000000000000000e+00
7.184873949579832e-01 5.855462184873950e-02 0.000000000000000e+00
7.268907563025210e-01 6.080672268907562e-02 0.000000000000000e+00
7.352941176470588e-01 6.305882352941175e-02 0.000000000000000e+00
7.436974789915967e-01 6.531092436974791e-02 0.000000000000000e+00
7.521008403361345e-01 6.756302521008403e-02 0.000000000000000e+00
7.605042016806722e-01 6.981512605042016e-02 0.000000000000000e+00
7.689075630252100e-01 7.206722689075629e-02 0.000000000000000e+00
7.773109243697479e-01 7.431932773109244e-02 0.000000000000000e+00
7.857142857142857e-01 7.657142857142857e-02 0.000000000000000e+00
7.941176470588235e-01 7.882352941176470e-02 0.000000000000000e+00
8.025210084033613e-01 8.107563025210082e-02 0.000000000000000e+00
8.109243697478992e-01 8.332773109243698e-02 0.000000000000000e+00
8.193277310924370e-01 8.557983193277310e-02 0.000000000000000e+00
8.277310924369747e-01 8.783193277310923e-02 0.000000000000000e+00
8.361344537815125e-01 9.008403361344539e-02 0.000000000000000e+00
8.445378151260503e-01 9.233613445378151e-02 0.000000000000000e+00
8.529411764705881e-01 9.458823529411764e-02 0.000000000000000e+00
8.613445378151259e-01 9.684033613445377e-02 0.000000000000000e+00
8.697478991596639e-01 9.909243697478992e-02 0.000000000000000e+00
8.781512605042017e-01 1.013445378151261e-01 0.000000000000000e+00
8.865546218487395e-01 1.035966386554622e-01 0.000000000000000e+00
8.949579831932772e-01 1.058487394957983e-01 0.000000000000000e+00
9.033613445378153e-01 1.081008403361345e-01 0.000000000000000e+00
9.117647058823530e-01 1.103529411764706e-01 0.000000000000000e+00
9.201680672268908e-01 1.126050420168067e-01 0.000000000000000e+00
9.285714285714286e-01 1.148571428571428e-01 0.000000000000000e+00
9.369747899159664e-01 1.171092436974790e-01 0.000000000000000e+00
9.453781512605042e-01 1.193613445378151e-01 0.000000000000000e+00
9.537815126050420e-01 1.216134453781513e-01 0.000000000000000e+00
9.621848739495797e-01 1.238655462184874e-01 0.000000000000000e+00
9.705882352941175e-01 1.261176470588235e-01 0.000000000000000e+00
9.789915966386553e-01 1.283697478991597e-01 0.000000000000000e+00
9.873949579831931e-01 1.306218487394958e-01 0.000000000000000e+00
9.957983193277311e-01 1.328739495798320e-01 0.000000000000000e+00
1.004201680672269e+00 1.351260504201681e-01 0.000000000000000e+00
1.012605042016807e+00 1.373781512605042e-01 0.000000000000000e+00
1.021008403361345e+00 1.396302521008403e-01 0.000000000000000e+00
1.029411764705883e+00 1.418823529411765e-01 0.000000000000000e+00
1.037815126050420e+00 1.441344537815126e-01 0.000000000000000e+00
1.046218487394958e+00 1.463865546218488e-01 0.000000000000000e+00
1.054621848739496e+00 1.486386554621849e-01 0.000000000000000e+00
1.063025210084034e+00 1.508907563025210e-01 0.000000000000000e+00
1.071428571428571e+00 1.531428571428571e-01 0.000000000000000e+00
1.079831932773109e+00 1.553949579831933e-01 0.000000000000000e+00
1.088235294117647e+00 1.576470588235294e-01 0.000000000000000e+00
1.096638655462185e+00 1.598991596638656e-01 0.000000000000000e+00
1.105042016806723e+00 1.621512605042017e-01 0.000000000000000e+00
1.113445378151261e+00 1.644033613445378e-01 0.000000000000000e+00
1.121848739495798e+00 1.666554621848740e-01 0.000000000000000e+00
1.130252100840336e+00 1.689075630252101e-01 0.000000000000000e+00
1.138655462184874e+00 1.711596638655462e-01 0.000000000000000e+00
1.147058823529412e+00 1.734117647058824e-01 0.000000000000000e+00
1.155462184873950e+00 1.756638655462185e-01 0.000000000000000e+00
1.163865546218488e+00 1.779159663865546e-01 0.000000000000000e+00
1.172268907563025e+00 1.801680672268908e-01 0.000000000000000e+00
1.180672268907563e+00 1.824201680672269e-01 0.000000000000000e+00
1.189075630252101e+00 1.846722689075630e-01 0.000000000000000e+00
1.197478991596638e+00 1.869243697478992e-01 0.000000000000000e+00
1.205882352941176e+00 1.891764705882353e-01 0.000000000000000e+00
1.214285714285714e+00 1.914285714285714e-01 0.000000000000000e+00
1.222689075630252e+00 1.936806722689076e-01 0.000000000000000e+00
1.231092436974790e+00 1.959327731092437e-01 0.000000000000000e+00
1.239495798319328e+00 1.981848739495798e-01 0.000000000000000e+00
1.247899159663866e+00 2.004369747899160e-01 0.000000000000000e+00
1.256302521008403e+00 2.026890756302521e-01 0.000000000000000e+00
1.264705882352941e+00 2.049411764705882e-01 0.000000000000000e+00
1.273109243697479e+00 2.071932773109244e-01 0.000000000000000e+00
1.281512605042017e+00 2.094453781512605e-01 0.000000000000000e+00
1.289915966386555e+00 2.116974789915966e-01 0.000000000000000e+00
1.298319327731093e+00 2.139495798319328e-01 0.000000000000000e+00
1.306722689075631e+00 2.162016806722689e-01 0.000000000000000e+00
1.315126050420168e+00 2.184537815126051e-01 0.000000000000000e+00
1.323529411764706e+00 2.207058823529412e-01 0.000000000000000e+00
1.331932773109244e+00 2.229579831932773e-01 0.000000000000000e+00
1.340336134453781e+00 2.252100840336135e-01 0.000000000000000e+00
1.348739495798319e+00 2.274621848739496e-01 0.000000000000000e+00
1.357142857142857e+00 2.297142857142857e-01 0.000000000000000e+00
1.365546218487395e+00 2.319663865546219e-01 0.000000000000000e+00
1.373949579831933e+00 2.342184873949580e-01 0.000000000000000e+00
1.382352941176471e+00 2.364705882352941e-01 0.000000000000000e+00
1.390756302521008e+00 2.387226890756302e-01 0.000000000000000e+00
1.399159663865546e+00 2.409747899159664e-01 0.000000000000000e+00
1.407563025210084e+00 2.432268907563025e-01 0.000000000000000e+00
1.415966386554622e+00 2.454789915966387e-01 0.000000000000000e+00
1.424369747899160e+00 2.477310924369748e-01 0.000000000000000e+00
1.432773109243698e+00 2.499831932773109e-01 0.000000000000000e+00
1.441176470588235e+00 2.522352941176471e-01 0.000000000000000e+00
1.449579831932773e+00 2.544873949579832e-01 0.000000000000000e+00
1.457983193277311e+00 2.567394957983193e-01 0.000000000000000e+00
1.466386554621849e+00 2.589915966386555e-01 0.000000000000000e+00
1.474789915966386e+00 2.612436974789916e-01 0.000000000000000e+00
1.483193277310924e+00 2.634957983193277e-01 0.000000000000000e+00
1.491596638655462e+00 2.657478991596639e-01 0.000000000000000e+00
1.500000000000000e+00 2.680000000000000e-01 0.000000000000000e+00
0.000000000000000e+00 1.593670886075949e-02 0.000000000000000e+00
1.020408163265306e-02 1.593670886075950e-02 0.000000000000000e+00
2.040816326530612e-02 1.593670886075949e-02 0.000000000000000e+00
3.061224489795919e-02 1.593670886075950e-02 0.000000000000000e+00
4.081632653061224e-02 1.593670886075950e-02 0.000000000000000e+00
5.102040816326530e-02 1.593670886075950e-02 0.000000000000000e+00
6.122448979591837e-02 1.593670886075950e-02 0.000000000000000e+00
7.142857142857141e-02 1.593670886075951e-02 0.000000000000000e+00
8.163265306122450e-02 1.593670886075951e-02 0.000000000000000e+00
